title,text,id,datatype,startdate,enddate,geometry.type,latitude,longitude
Rhinolophus hipposideros,<a href="https://www.gbif.org/species/10991082" target="_blank">Voir sur GBIF</a>,2c5830ab-c41d-45e5-b505-3bcaab3ff63c,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Rhinolophus ferrumequinum,<a href="https://www.gbif.org/species/2432655" target="_blank">Voir sur GBIF</a>,6d72b0ce-6936-404f-8474-3169e55f608f,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Myotis daubentonii,<a href="https://www.gbif.org/species/2432439" target="_blank">Voir sur GBIF</a>,663e88f2-eb84-4b7c-8e48-e044fb484324,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Rhinolophus hipposideros,<a href="https://www.gbif.org/species/10991082" target="_blank">Voir sur GBIF</a>,88485371-48a8-4b4c-a723-e3a0d4d0fbf1,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Myotis daubentonii,<a href="https://www.gbif.org/species/2432439" target="_blank">Voir sur GBIF</a>,ea89cb06-1485-4ada-a9a2-c40045276d7e,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Myotis bechsteinii,<a href="https://www.gbif.org/species/2432427" target="_blank">Voir sur GBIF</a>,9238ccb9-a898-4e23-875a-5a9f66cbee86,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Myotis daubentonii,<a href="https://www.gbif.org/species/2432439" target="_blank">Voir sur GBIF</a>,8f43da19-235d-40a8-adc0-80413a6c292b,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Myotis myotis,<a href="https://www.gbif.org/species/2432416" target="_blank">Voir sur GBIF</a>,d59ac6cd-a2bc-4f85-89ba-2a7234d4c683,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Rhinolophus ferrumequinum,<a href="https://www.gbif.org/species/2432655" target="_blank">Voir sur GBIF</a>,acf96059-f031-470f-aeea-d566da349d19,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Myotis daubentonii,<a href="https://www.gbif.org/species/2432439" target="_blank">Voir sur GBIF</a>,be9df1ce-9d7c-4e3b-8498-70612180e992,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Rhinolophus hipposideros,<a href="https://www.gbif.org/species/10991082" target="_blank">Voir sur GBIF</a>,dfb3e139-07d0-4f40-8886-c169751a527e,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Rhinolophus ferrumequinum,<a href="https://www.gbif.org/species/2432655" target="_blank">Voir sur GBIF</a>,49948ec2-ea4f-4494-9e78-b34ec5ea36a1,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Rhinolophus ferrumequinum,<a href="https://www.gbif.org/species/2432655" target="_blank">Voir sur GBIF</a>,961bf5be-274a-461e-8e84-fbc8daee0391,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Myotis myotis,<a href="https://www.gbif.org/species/2432416" target="_blank">Voir sur GBIF</a>,effaaada-26a7-41bb-b46c-39bc2b9381ae,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Myotis nattereri,<a href="https://www.gbif.org/species/2432389" target="_blank">Voir sur GBIF</a>,52b1739b-ba50-4b86-9921-96e174a14977,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
